quelle,name,tokens_geschaetzt,trigger,funktionsumfang,erstellt,geaendert
home,Agents,2573,"create custom agents, spin up agents, specialized agents, agent personalities, available traits, list traits, agent voices, compose agent, load agent context, agent profile, spawn parallel agents, launch agents. NOT for agent teams/swarms (use Delegation skill → TeamCreate).",Compose CUSTOM agents from Base Traits + Voice + Specialization for specialized perspectives,2026-03-10,2026-03-10
home,apple-reminders,478,"reminders, erinnerungen, einkaufsliste, shopping list, add to list, remind me, apple reminders, lebensmittel.","Manage Apple Reminders via AppleScript — add items to lists, view lists, check off items, show open reminders",2026-04-13,2026-04-13
home,architecture-diagram,237,,"""Erstelle Mermaid-Architekturdiagramme (L0-L4) — einzeln oder als vollstaendige Projekt-Analyse mit Skript-Inventar und Duplikat-Erkennung""",2026-03-01,2026-03-01
home,Browser,1571,"browser automation, headless browser, take screenshot, capture page, extract page text, read console logs, debug frontend, fill form, submit form, save PDF, discover elements, browser testing, page interaction, web scraping via browser, accessibility testing, assert elements.",Browser automation via rodney CLI (persistent headless Chrome),2026-04-06,2026-04-06
home,caveman,516,"user says ""caveman mode"", ""talk like caveman"", ""use caveman"", ""less tokens"", ""be brief"", or invokes /caveman.","Ultra-compressed communication mode. Cuts token usage ~75% by dropping filler, articles, and pleasantries while keeping full technical accuracy",2026-04-30,2026-04-30
home,check-links,709,,"Find broken wiki-links in the vault. Read-only analysis — scans for [[links]] and verifies target files exist. No writes, no dependencies.",2026-06-04,2026-06-04
home,ContentAnalysis,140,"extract wisdom, content analysis, analyze content, insight report, analyze video, analyze podcast, extract insights, key takeaways, what did I miss, extract from YouTube.","Content extraction and analysis — wisdom extraction from videos, podcasts, articles, and YouTube",2026-03-10,2026-03-10
home,context-audit,1256,"the user says ""audit my context"", ""check my settings"", ""why is Claude so slow"", ""token optimization"", ""context audit"", or runs /context-audit. Starts by running /context to see real overhead, then audits MCP servers, CLAUDE.md rules, skills, settings, and file permissions. Returns a health score with specific fixes.",Audit your Claude Code setup for token waste and context bloat,2026-04-13,2026-04-13
home,context-load,2301,,"Laedt Task- und Wiki-Kontext fuer die aktuelle User-Anfrage im ObsidianPKM-Vault. Nutzt context-resolve.py fuer Query-Klassifikation und Task-Match, danach qmd-Hybridsuche fuer Wiki und (bedingt) Projekt-Repo. Greift global, no-op ausserhalb des Vaults.",2026-06-04,2026-06-04
home,daily-review,2374,"daily review, daily recap, ueberfaellige tasks, warum nicht erledigt, reschedule, reminder fuer waiting, blocked tasks, sprint cleanup, /daily-review.","Daily Recap fuer den Obsidian-Vault — scannt Efforts/ nach ueberfaelligen Tasks/Terminen und waiting-Items ohne scheduled, gruppiert nach Projekt + Status, schlaegt Bulk-Aktionen vor (status=done, clear-scheduled, reschedule). Aendert Frontmatter atomic und schreibt CHANGELOG-Eintraege",2026-06-04,2026-06-04
home,diagnose,1779,"user says ""diagnose this"" / ""debug this"", reports a bug, says something is broken/throwing/failing, or describes a performance regression.",Disciplined diagnosis loop for hard bugs and performance regressions. Reproduce → minimise → hypothesise → instrument → fix → regression-test,2026-05-14,2026-05-14
home,doc-coauthoring,292,"user wants to write documentation, proposals, technical specs, decision docs, or similar structured content. This workflow helps users efficiently transfer context, refine content through iteration, and verify the doc works for readers. Trigger when user mentions writing docs, creating proposals, drafting specs, or similar documentation tasks.",Guide users through a structured workflow for co-authoring documentation,2026-03-01,2026-03-01
home,docx,408,"the user wants to create, read, edit, or manipulate Word documents (.docx files). Triggers include: any mention of \""Word doc\"", \""word document\"", \"".docx\"", or requests to produce professional documents with formatting like tables of contents, headings, page numbers, or letterheads. Also use when extracting or reorganizing content from .docx files, inserting or replacing images in documents, performing find-and-replace in Word files, working with tracked changes or comments, or converting content into a polished Word document. If the user asks for a \""report\"", \""memo\"", \""letter\"", \""template\"", or similar deliverable as a Word or .docx file, use this skill. Do NOT use for PDFs, spreadsheets, Google Docs, or general coding tasks unrelated to document generation.""","""",2026-03-01,2026-03-01
home,excalidraw-diagram,6064,"the user wants to visualize workflows, architectures, or concepts.",Create Excalidraw diagram JSON files that make visual arguments,2026-04-28,2026-04-28
home,fallow,648,,"Analyze TypeScript and JavaScript repos with Fallow to find dead code, duplication, complexity hotspots, and architecture drift. Use in JS/TS projects before cleanup, refactors, or PR review.",2026-05-01,2026-05-01
home,finalize,272,,"""Session finalisieren: Tests prüfen, TaskMaster-Erfolgskriterien validieren, IMPLEMENTATION_NOTES.md aktualisieren, detaillierten Commit erstellen. Aufruf mit /finalize oder /finalise.""",2026-03-01,2026-03-01
home,find-skills,1358,the user is looking for functionality that might exist as an installable skill.,"Helps users discover and install agent skills when they ask questions like ""how do I do X"", ""find a skill for X"", ""is there a skill that can..."", or express interest in extending capabilities",2026-05-14,2026-05-14
home,frontend-design,356,"the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, React components, HTML/CSS layouts, or when styling/beautifying any web UI). Generates creative, polished code and UI design that avoids generic AI aesthetics.","Create distinctive, production-grade frontend interfaces with high design quality",2026-03-01,2026-03-01
home,graphify,15116,,"""any input (code, docs, papers, images) - knowledge graph - clustered communities - HTML + JSON + audit report""",2026-04-27,2026-04-27
home,grill-me,159,"user wants to stress-test a plan, get grilled on their design, or mentions ""grill me"".","Interview the user relentlessly about a plan or design until reaching shared understanding, resolving each branch of the decision tree",2026-05-14,2026-05-14
home,grill-with-docs,875,user wants to stress-test a plan against their project's language and documented decisions.,"Grilling session that challenges your plan against the existing domain model, sharpens terminology, and updates documentation (CONTEXT.md, ADRs) inline as decisions crystallise",2026-05-14,2026-05-14
home,handoff,180,,Compact the current conversation into a handoff document for another agent to pick up.,2026-05-14,2026-05-14
home,improve-codebase-architecture,1274,"the user wants to improve architecture, find refactoring opportunities, consolidate tightly-coupled modules, or make a codebase more testable and AI-navigable.","Find deepening opportunities in a codebase, informed by the domain language in CONTEXT.md and the decisions in docs/adr/",2026-05-14,2026-05-14
home,Investigation,202,"OSINT, due diligence, company intel, background check, find person, locate, people search, reconnect, public records, reverse lookup, social media search, verify identity, domain lookup, entity lookup, organization lookup, company lookup, threat intel.","OSINT and people-finding — structured investigations, company intel, due diligence, and ethical people search across public records and social media",2026-03-10,2026-03-10
home,iOS-AppStore-Publish,1269,"ios publish, app store connect, asc, testflight upload, fastlane deliver, export compliance, submit for review, ios release, app store metadata, app store screenshots, asc browser automation, asc-session.","End-to-End iOS App Store publish workflow — routes between CI (gh workflow run), Fastlane (bundle exec), and Rodney/Browser (asc-session.sh) for the ASC-UI bits",2026-05-28,2026-05-28
home,ios-testing,1155,"building a new iOS feature, writing or fixing an XCUITest/unit test, testing a SwiftUI gesture (drag/long-press/reorder/swipe), an XCUITest can't find or tap a control, a UITest flakes in the simulator, or working with .swift / SwiftData / Xcode-Sim test code. Triggers: neues iOS-Feature, iOS feature, swift test, xcuitest, ui test, simulator test, geste testen, drag gesture, reorder, accessibility identifier, swiftui test.","Test strategy + XCUITest gotcha preflight for native SwiftUI/SwiftData iOS apps (bujo-notes-ios, inspire-ios, howtodraw-ios). Picks the right test level (unit vs manual-sim vs UITest) BEFORE writing tests and pre-empts the simulator/accessibility/gesture traps that cost full build cycles",2026-06-04,2026-06-04
home,karpathy-guidelines,626,"writing, reviewing, or refactoring code to avoid overcomplication, make surgical changes, surface assumptions, and define verifiable success criteria.",Behavioral guidelines to reduce common LLM coding mistakes,2026-04-13,2026-04-13
home,knowledge,860,"knowledge get, knowledge finish, load context, project context, session finish, sync knowledge, end session, close session, was wurde gemacht, context laden.",Load project context or finish a session with knowledge sync,2026-04-03,2026-04-03
home,library,2167,"the user wants to install, use, add, push, remove, sync, list, or search for skills, agents, or prompts from their private library catalog. Triggers on /library commands or mentions of library, skill distribution, or agentic management.",Private skill distribution system,2026-03-16,2026-03-16
home,local-ci,2019,"local ci, localci, pre-push gate, push gaten, pipeline.yml, .localci, gate tests before push, ci report ohne server, runs.html, lokale CI einrichten, CI in anderes repo einbauen.","Lokale git-gesteuerte CI-Pipeline (localci) in ein Repo einbauen — ein pre-push-Hook, der Tests/Lint als Gate ausfuehrt, schlechte Pushes blockt, Deployment nur bei Erfolg laufen laesst und pro Lauf CTRF-JSON + GitHub-Style-HTML-Report (runs.html + Detailseiten) erzeugt",2026-05-31,2026-05-31
home,Media,251,"art, header images, visualizations, mermaid, diagrams, flowcharts, infographics, pack icons, video, animation, motion graphics, Remotion, video rendering, YouTube thumbnails, comics, comparisons, frameworks, maps, timelines, taxonomies, stats, aphorisms, recipe cards, annotated screenshots, D3 dashboards, embossed logo wallpaper, remove background, essay illustration, technical diagrams, content to animation, generate image, Midjourney.","Visual and video content creation — illustrations, diagrams, mermaid flowcharts, infographics, header images, PAI pack icons, thumbnails, comics, and programmatic video via Remotion",2026-03-10,2026-03-10
